name,country.etc,pop,lat,long,capital
Adelaide,Australia,1076969,-34.93,138.6,0
Albany,Australia,24338,-35.02,117.88,0
Albury,Australia,109273,-36.06,146.92,0
Alice Springs,Australia,26178,-23.7,133.87,0
Alyangula,Australia,1286,-13.83,136.42,0
Ararat,Australia,6111,-37.28,142.93,0
Armidale,Australia,22746,-30.51,151.66,0
Atherton,Australia,7129,-17.26,145.47,0
Australind,Australia,6719,-33.31,115.7,0
Ayr,Australia,9155,-19.57,147.4,0
Baccus Marsh,Australia,13841,-37.67,144.43,0
Bairnsdale,Australia,11015,-37.83,147.61,0
Ballarat,Australia,85610,-37.56,143.84,0
Ballina,Australia,13944,-28.86,153.56,0
Batemans Bay,Australia,10633,-35.7,150.19,0
Bathurst-Orange,Australia,27961,-33.42,149.57,0
Benalla,Australia,9065,-36.55,145.97,0
Bendigo,Australia,82513,-36.76,144.28,0
Biloela,Australia,6463,-24.4,150.51,0
Blackwater,Australia,7427,-23.58,148.88,0
Bongaree,Australia,13983,-27.09,153.16,0
Bowen,Australia,11251,-20,148.21,0
Bowral,Australia,9674,-34.5,150.4,0
Bridgewater-Gagebrook,Australia,7831,-42.74,147.22,0
Brisbane,Australia,1891999,-27.46,153.02,0
Broken Hill,Australia,17033,-31.95,141.44,0
Broome,Australia,13415,-17.96,122.23,0
Buderim,Australia,15600,-26.68,153.05,0
Bunbury,Australia,26488,-33.35,115.65,0
Bundaberg,Australia,53996,-24.87,152.35,0
Burnie,Australia,19982,-41.06,145.89,0
Burpengary,Australia,8483,-27.17,152.95,0
Busselton,Australia,10097,-33.66,115.35,0
Byron Bay,Australia,6812,-28.66,153.61,0
Caboolture,Australia,22003,-27.09,152.95,0
Cairns,Australia,161302,-16.92,145.75,0
Cairns Northern Beaches,Australia,18493,-16.84,145.7,0
Caloundra,Australia,40124,-26.81,153.13,0
Camden Haven,Australia,6471,-34.07,150.7,0
Canberra,Australia,324736,-35.31,149.13,1
Carnarvon,Australia,7502,-24.89,113.64,0
Casino,Australia,9445,-28.87,153.04,0
Castlemaine,Australia,6610,-37.07,144.21,0
Cessnock,Australia,16231,-32.83,151.36,0
Charters Towers,Australia,9766,-20.08,146.25,0
Clifton Springs,Australia,7494,-38.15,144.57,0
Coffs Harbour,Australia,63525,-30.3,153.12,0
Colac,Australia,9037,-38.34,143.58,0
Collie,Australia,6222,-33.36,116.15,0
Coolum Beach,Australia,8764,-26.5,153.07,0
Cooma,Australia,6439,-36.24,149.12,0
Coonawarra,Australia,942,-12.38,130.88,0
Cootamundra,Australia,4980,-34.65,148.01,0
Corowa,Australia,5073,-36,146.38,0
Cowra,Australia,6855,-33.83,148.68,0
Crafers-Bridgewater,Australia,14778,-35,138.7,0
Craigieburn,Australia,20630,-37.6,144.93,0
Cranbourne,Australia,41405,-38.11,145.27,0
Crib Point,Australia,6984,-38.38,145.02,0
Dalby,Australia,9892,-27.19,151.26,0
Darwin,Australia,93417,-12.43,130.85,0
Deception Bay,Australia,16483,-27.2,153.02,0
Deniliquin,Australia,8012,-35.53,144.95,0
Devonport,Australia,19104,-41.2,146.33,0
Dubbo,Australia,29149,-32.25,148.6,0
Echuca-Moama,Australia,20287,-36.13,144.75,0
Emerald,Australia,9408,-23.52,148.16,0
Esperance,Australia,7781,-33.86,121.89,0
Forbes,Australia,4662,-33.39,148,0
Forster-Tuncurry,Australia,17718,-32.19,152.52,0
Galiwinku,Australia,1343,-11.98,135.56,0
Gatton,Australia,6672,-27.56,152.28,0
Gawler,Australia,16430,-34.61,138.73,0
Geelong,Australia,151184,-38.14,144.32,0
Geraldton,Australia,27531,-28.77,114.59,0
Gladstone,Australia,31008,-23.85,151.25,0
Glenn Innes,Australia,6780,-29.74,151.74,0
Gold Coast,Australia,523174,-28.07,153.44,0
Goulburn,Australia,20815,-34.75,149.71,0
Grafton,Australia,16313,-29.71,152.94,0
Griffith,Australia,15551,-34.29,146.04,0
Gunnedah,Australia,7015,-30.98,150.26,0
Gympie,Australia,11057,-26.19,152.67,0
Hamilton,Australia,8810,-37.73,142.02,0
Hastings,Australia,6655,-38.31,145.19,0
Healesville,Australia,7175,-37.66,145.52,0
Helensvale,Australia,17310,-15.71,145.23,0
Hervey Bay,Australia,49775,-25.29,152.84,0
Hobart,Australia,206640,-42.85,147.29,0
Horsham,Australia,12874,-36.71,142.19,0
Howard Springs,Australia,3350,-12.47,131.04,0
Humpty Doo-MacMinns Lagoon,Australia,5011,-12.53,131.05,0
Ingham,Australia,6276,-18.65,146.15,0
Innisfail,Australia,10313,-17.53,146.03,0
Inverell,Australia,8455,-29.77,151.11,0
Jabiru,Australia,1900,-12.67,132.88,0
Kalgoorlie-Boulder,Australia,37806,-30.74,121.46,0
Karratha,Australia,11868,-20.73,116.87,0
Katherine,Australia,10337,-14.47,132.26,0
Katoomba-Wentworth Falls,Australia,18639,-33.71,150.32,0
Kawana Waters,Australia,20366,-26.76,153.13,0
Kempsey,Australia,9591,-31.08,152.83,0
Kiama,Australia,10192,-34.71,150.84,0
Kingaroy,Australia,8782,-26.54,151.84,0
Kingston-Blackmans Bay,Australia,14447,-42.99,147.31,0
Kununurra,Australia,5764,-15.76,128.73,0
Kurri Kurri,Australia,10806,-32.82,151.46,0
Kwinana,Australia,20613,-32.25,115.77,0
Kyabram,Australia,6465,-36.32,145.05,0
Lakes Entrance,Australia,5913,-37.88,147.99,0
Lara,Australia,8268,-38.03,144.41,0
Launceston,Australia,73074,-41.45,147.13,0
Lawson-Hazelbrook,Australia,10674,-33.72,150.43,0
Leeton,Australia,7351,-34.55,146.4,0
Lemon Tree Passage,Australia,5908,-32.77,152.01,0
Leopold,Australia,6187,-38.18,144.46,0
Lismore,Australia,31652,-28.81,153.29,0
Lithgow,Australia,11037,-33.49,150.14,0
Mackay,Australia,77975,-21.14,149.18,0
Mandurah,Australia,79180,-32.53,115.75,0
Maningrida,Australia,1387,-12.07,134.08,0
Mareeba,Australia,8608,-16.98,145.42,0
Maroochydore-Mooloolaba,Australia,45589,-26.68,153.12,0
Maryborough,Australia,20617,-25.54,152.72,0
Maryborough,Australia,7016,-37.05,143.73,0
Medowie,Australia,5883,-32.74,151.86,0
Melbourne,Australia,3780871,-37.81,144.96,0
Melton,Australia,32589,-37.69,144.57,0
Mildura,Australia,48600,-34.19,142.16,0
Milingimbi,Australia,983,-12.1,134.91,0
Mittagong,Australia,6766,-34.45,150.43,0
Moe-Yallourn,Australia,12803,-38.18,146.25,0
Moranbah,Australia,8150,-22,148.04,0
Morayfield,Australia,10511,-27.11,152.95,0
Moree,Australia,8180,-29.47,149.84,0
Morwell,Australia,11422,-38.23,146.4,0
Moss Vale,Australia,6788,-34.55,150.37,0
Mount Barker,Australia,8391,-35.07,138.84,0
Mount Gambier,Australia,23304,-37.84,140.77,0
Mount Isa,Australia,22561,-20.73,139.48,0
Mudgee,Australia,9107,-32.59,149.58,0
Murray Bridge,Australia,11170,-35.13,139.26,0
Murwillumbah,Australia,6770,-28.33,153.4,0
Muswellbrook,Australia,11714,-32.27,150.89,0
Nambour,Australia,15284,-26.63,152.97,0
Nambucca Heads,Australia,6949,-30.6,152.98,0
Narrabri,Australia,7134,-30.33,149.78,0
Nelson Bay,Australia,7780,-32.72,152.15,0
Nerang,Australia,18116,-27.99,153.33,0
New Norfolk,Australia,5555,-42.78,147.05,0
Newcastle,Australia,500085,-32.92,151.75,0
Nguiu,Australia,1247,-11.76,130.63,0
Ngukurr,Australia,944,-14.68,134.56,0
Nhulunbuy,Australia,3131,-12.19,136.76,0
Northam,Australia,5794,-31.66,116.66,0
Ocean Grove-Barwon Heads,Australia,13892,-38.25,144.52,0
