UIN,Incident.day,Incident.month,Incident.year,Victim.injury,State,Location,Shark.common.name,Shark.scientific.name,Latitude-Orig,Longitude-Orig,Adjusted,Site.category,AdjLat,AdjLong,Latitude,Longitude,Notes
1,1,1,1791,fatal,NSW,near sydney,white shark,Carcharodon carcharias ,-33.8667,151.2000,No,coastal,,,-33.8667,151.2000,
2,1,3,1803,injured,WA,"hamelin bay, faure island",tiger shark,Galeocerdo cuvier ,-25.8333,113.8833,No,coastal,,,-25.8333,113.8833,
3,1,1,1807,injured,NSW,"cockle bay, sydney harbour",bull shark,Carcharhinus leucas,-33.8667,151.2000,No,estuary/harbour,,,-33.8667,151.2000,
4,1,1,1820,fatal,TAS,"sweetwater point, pitt water",,,-42.8000,147.5333,No,coastal,,,-42.8000,147.5333,
5,1,1,1825,injured,NSW,"kirribili point, sydney harbour",bull shark,Carcharhinus leucas,-33.8500,151.2167,No,estuary/harbour,,,-33.8500,151.2167,
6,1,1,1830,injured,TAS,bruny island,white shark,Carcharodon carcharias ,-43.2833,147.3333,No,island open ocean,,,-43.2833,147.3333,
7,1,1,1832,injured,NSW,"blackwattle bay, glebe, sydney harbour",bull shark,Carcharhinus leucas,-33.8667,151.1833,No,estuary/harbour,,,-33.8667,151.1833,
8,1,6,1832,injured,NSW,"south head, sydney harbour",white shark,Carcharodon carcharias ,-33.8333,151.2667,No,coastal,,,-33.8333,151.2667,
9,1,1,1836,injured,SA,holdfast bay,white shark,Carcharodon carcharias ,-34.9500,138.5000,No,coastal,,,-34.9500,138.5000,
10,1,8,1836,fatal,QLD,fraser island,whaler shark,Carcharhinidae,-25.4833,152.9833,No,coastal,,,-25.4833,152.9833,
11,1,8,1836,fatal,QLD,fraser island,whaler shark,Carcharhinidae,-25.4833,152.9833,No,coastal,,,-25.4833,152.9833,
12,1,1,1837,fatal,NSW,macleay river,bull shark,Carcharhinus leucas,-30.9333,153.0167,No,river,,,-30.9333,153.0167,
13,1,8,1839,fatal,VIC,"sealer's cove, wilson's promontory",white shark,Carcharodon carcharias ,-38.9833,146.4500,No,coastal,,,-38.9833,146.4500,
14,1,12,1840,fatal,NSW,"wooloomooloo bay, sydney harbour",bull shark,Carcharhinus leucas,-33.8500,151.2167,No,estuary/harbour,,,-33.8500,151.2167,
15,1,4,1841,fatal,NSW,"cockatoo island, sydney harbour",bull shark,Carcharhinus leucas,-33.8333,151.1667,No,estuary/harbour,,,-33.8333,151.1667,
16,1,3,1847,injured,QLD,moreton bay,bull shark,Carcharhinus leucas,-27.2500,153.2500,No,coastal,,,-27.2500,153.2500,
17,1,11,1847,injured,QLD,brisbane river,bull shark,Carcharhinus leucas,-27.4333,153.0833,No,river,,,-27.4333,153.0833,
18,1,1,1849,fatal,WA,"quindalup, busselton",white shark,Carcharodon carcharias ,-33.3667,115.2833,No,ocean/pelagic,,,-33.3667,115.2833,
19,1,12,1849,injured,VIC,portland,white shark,Carcharodon carcharias ,-38.3333,141.6000,No,coastal,,,-38.3333,141.6000,
20,1,12,1849,fatal,NSW,"woolloomooloo bay, sydney harbour",bull shark,Carcharhinus leucas,-33.8167,151.2000,No,estuary/harbour,,,-33.8167,151.2000,
21,1,1,1850,fatal,QLD,moreton bay,tiger shark,Galeocerdo cuvier ,-27.2833,153.2167,No,coastal,,,-27.2833,153.2167,
22,1,3,1850,injured,NSW,"yamba, clarence head",whaler shark,Carcharhinidae,-29.4167,153.3333,No,coastal,,,-29.4167,153.3333,
23,1,11,1853,injured,NSW,sydney harbour,wobbegong,Orectolobidae,-33.8500,151.2167,No,estuary/harbour,,,-33.8500,151.2167,
24,1,1,1855,injured,QLD,mary river,bull shark,Carcharhinus leucas,-25.5000,152.7167,No,river,,,-25.5000,152.7167,
25,1,1,1855,uninjured,NSW,"woolloomooloo bay, sydney harbour",bull shark,Carcharhinus leucas,-33.8500,151.2167,No,estuary/harbour,,,-33.8500,151.2167,
26,1,7,1855,fatal,QLD,hammond island,tiger shark,Galeocerdo cuvier ,-10.5667,142.2000,No,island open ocean,,,-10.5667,142.2000,
27,1,11,1855,fatal,NSW,"millers point, sydney harbour",bull shark,Carcharhinus leucas,-33.8667,151.2000,No,estuary/harbour,,,-33.8667,151.2000,
28,1,2,1856,injured,VIC,"port phillip bay, point henry",white shark,Carcharodon carcharias ,-38.1333,144.4167,No,coastal,,,-38.1333,144.4167,
29,1,5,1856,injured,SA,"port elliot, horseshoe bay",wobbegong,Orectolobidae,-35.5333,138.6833,No,coastal,,,-35.5333,138.6833,
30,1,3,1858,fatal,VIC,"hobson's bay, port phillip bay",white shark,Carcharodon carcharias ,-37.8500,144.9000,No,coastal,,,-37.8500,144.9000,
31,1,1,1860,injured,SA,encounter bay,white shark,Carcharodon carcharias ,-35.5667,138.6000,No,coastal,,,-35.5667,138.6000,
32,1,1,1861,injured,QLD,"cleveland, moreton bay",wobbegong,Orectolobidae,-27.5167,153.2667,No,coastal,,,-27.5167,153.2667,
33,1,2,1862,injured,VIC,"huttons wharf, port phillip bay",white shark,Carcharodon carcharias ,-37.8500,144.9000,No,coastal,,,-37.8500,144.9000,
34,1,12,1862,fatal,QLD,"brisbane river, brisbane",bull shark,Carcharhinus leucas,-27.3667,153.1500,No,river,,,-27.3667,153.1500,
35,1,1,1863,fatal,NSW,manning river,bull shark,Carcharhinus leucas,-31.8833,151.4667,No,river,,,-31.8833,151.4667,
36,1,1,1863,fatal,QLD,"moreton bay, victoria point",tiger shark,Galeocerdo cuvier ,-27.5833,153.3167,No,coastal,,,-27.5833,153.3167,
37,1,3,1863,injured,VIC,"brighton bay, melbourne",white shark,Carcharodon carcharias ,-37.9000,144.9833,No,coastal,,,-37.9000,144.9833,
38,1,4,1863,fatal,QLD,caloundra heads,tiger shark,Galeocerdo cuvier ,-26.8000,153.1333,No,coastal,,,-26.8000,153.1333,
39,1,11,1865,fatal,VIC,"williamstown, phillip bay, melbourne",white shark,Carcharodon carcharias ,-37.8667,144.8667,No,coastal,,,-37.8667,144.8667,
40,1,1,1868,injured,QLD,yeppoon,tiger shark,Galeocerdo cuvier ,-23.0833,150.7333,No,coastal,,,-23.0833,150.7333,
41,1,1,1869,injured,QLD,"brisbane river, milton reach",bull shark,Carcharhinus leucas,-27.4667,153.0000,No,river,,,-27.4667,153.0000,
42,1,3,1869,injured,SA,"cape elizabeth, port hughes",broadnose sevengill shark,Notorynchus cepedianus,-34.1333,137.4500,No,coastal,,,-34.1333,137.4500,
43,1,1,1870,injured,QLD,"brisbane river, north quay",bull shark,Carcharhinus leucas,-27.4667,153.0167,No,river,,,-27.4667,153.0167,
44,1,5,1870,injured,QLD,moreton island,whaler shark,Carcharhinidae,-27.0833,153.4000,No,coastal,,,-27.0833,153.4000,
45,1,1,1872,injured,QLD,"wide bay, near fraser island",,,-25.8000,153.0167,No,coastal,,,-25.8000,153.0167,
46,1,2,1873,uninjured,SA,semaphore beach,white shark,Carcharodon carcharias ,-34.8333,138.4667,No,coastal,,,-34.8333,138.4667,
47,1,1,1874,injured,NSW,"darling harbour, sydney harbour",bull shark,Carcharhinus leucas,-33.8667,151.2000,No,estuary/harbour,,,-33.8667,151.2000,
48,1,11,1874,injured,QLD,"mary river, maryborough",bull shark,Carcharhinus leucas,-25.5000,152.7167,No,river,,,-25.5000,152.7167,
49,1,11,1874,injured,NSW,"redhead beach, newcastle",wobbegong,Orectolobidae,-33.0000,151.7167,No,coastal,,,-33.0000,151.7167,
50,1,7,1875,injured,NSW,"yamba, clarence river",tiger shark,Galeocerdo cuvier ,-29.4167,153.3333,No,river,,,-29.4167,153.3333,
51,1,10,1875,fatal,QLD,torres strait islands,tiger shark,Galeocerdo cuvier ,-10.2500,142.1167,No,estuary/harbour,,,-10.2500,142.1167,
52,1,11,1875,injured,NSW,"yamba, clarence river heads, lluka beach",white shark,Carcharodon carcharias ,-29.4000,153.3333,No,island open ocean,,,-29.4000,153.3333,
53,1,12,1875,injured,NSW,"yamba, clarence river, grafton",bull shark,Carcharhinus leucas,-29.4000,153.3333,No,river,,,-29.4000,153.3333,
54,1,1,1876,injured,WA,port walcott & de grey river,bull shark,Carcharhinus leucas,-20.7000,117.2500,No,river,,,-20.7000,117.2500,
55,1,1,1876,injured,VIC,st kilda beach,white shark,Carcharodon carcharias ,-37.8667,144.9667,No,coastal,,,-37.8667,144.9667,
56,1,2,1876,fatal,QLD,torres strait islands,tiger shark,Galeocerdo cuvier ,-10.2500,142.1167,No,coastal,,,-10.2500,142.1167,
57,1,2,1876,fatal,VIC,albert park pier,white shark,Carcharodon carcharias ,-37.8500,144.9500,No,estuary/harbour,,,-37.8500,144.9500,
58,1,7,1876,uninjured,NSW,"dawse point battery, sydney harbour",whaler shark,Carcharhinidae,-33.8500,151.2000,No,coastal,,,-33.8500,151.2000,
59,1,12,1876,injured,NSW,"paterson river, newcastle",bull shark,Carcharhinus leucas,-32.7667,151.7000,No,island open ocean,,,-32.7667,151.7000,
60,1,1,1877,fatal,VIC,"emerald hill, melbourne",white shark,Carcharodon carcharias ,-37.8333,144.9333,No,coastal,,,-37.8333,144.9333,
61,1,1,1877,injured,VIC,port fairy,white shark,Carcharodon carcharias ,-38.3833,142.4833,No,coastal,,,-38.3833,142.4833,
62,1,3,1877,injured,VIC,"port phillip bay, portarlington",white shark,Carcharodon carcharias ,-38.1000,144.6500,No,coastal,,,-38.1000,144.6500,
63,1,12,1877,injured,NSW,"balmain, sydney harbour",bull shark,Carcharhinus leucas,-33.8667,151.2000,No,estuary/harbour,,,-33.8667,151.2000,
64,1,12,1877,injured,SA,st kilda beach,,,-34.7333,138.0333,No,coastal,,,-34.7333,138.0333,
65,1,1,1878,injured,QLD,"torres strait, saibai island",tiger shark,Galeocerdo cuvier ,-9.6333,142.6833,No,island open ocean,,,-9.6333,142.6833,
66,1,3,1878,injured,VIC,hopkin's river,whaler shark,Carcharhinidae,-38.3833,142.5000,No,river,,,-38.3833,142.5000,
67,1,7,1878,injured,QLD,"inskip point, off frazer island",bull shark,Carcharhinus leucas,-25.8000,153.0500,No,coastal,,,-25.8000,153.0500,
68,1,11,1878,injured,NSW,"iron cove river, sydney harbour",wobbegong,Orectolobidae,-33.8500,151.1500,No,estuary/harbour,,,-33.8500,151.1500,
69,1,6,1879,fatal,NSW,"darling harbour, sydney harbour",bull shark,Carcharhinus leucas,-33.8667,151.2000,No,estuary/harbour,,,-33.8667,151.2000,
70,1,11,1879,injured,NSW,"yamba, clarence river heads, lluka beach",white shark,Carcharodon carcharias ,-29.4000,153.3333,No,estuary/harbour,,,-29.4000,153.3333,
71,1,1,1880,fatal,QLD,"cairns, fitzroy island",tiger shark,Galeocerdo cuvier ,-16.9000,145.9833,No,island open ocean,,,-16.9000,145.9833,
72,1,1,1880,injured,NSW,"lake macquarie, dora creek",bull shark,Carcharhinus leucas,-33.0833,151.5000,No,estuary/harbour,,,-33.0833,151.5000,
73,1,1,1880,injured,QLD,"brisbane river, ipswich",bull shark,Carcharhinus leucas,-27.5167,152.9000,No,river,,,-27.5167,152.9000,
74,1,11,1880,fatal,QLD,"brisbane river, kangaroo point",bull shark,Carcharhinus leucas,-27.4667,153.0333,No,river,,,-27.4667,153.0333,
75,1,1,1881,uninjured,NSW,"lake macquarie, pelican flat",bull shark,Carcharhinus leucas,-31.0667,152.6333,No,estuary/harbour,,,-31.0667,152.6333,
76,1,1,1881,injured,QLD,"hervey bay, wide bay",tiger shark,Galeocerdo cuvier ,-25.2500,152.8500,No,coastal,,,-25.2500,152.8500,
77,1,8,1881,injured,QLD,great barrier reef (unknown location),tiger shark,Galeocerdo cuvier ,-20.0000,148.8000,No,ocean/pelagic,,,-20.0000,148.8000,
78,1,11,1881,fatal,NSW,"rushcutters bay, sydney harbour",bull shark,Carcharhinus leucas,-33.8667,151.2333,No,estuary/harbour,,,-33.8667,151.2333,
79,1,12,1881,injured,QLD,"kolan river, bunbagerg",bull shark,Carcharhinus leucas,-24.8333,152.1167,No,river,,,-24.8333,152.1167,
80,1,1,1882,injured,WA,broome (area),tiger shark,Galeocerdo cuvier ,-17.9833,122.2333,No,coastal,,,-17.9833,122.2333,
81,1,4,1882,fatal,NSW,lake macquarie heads,white shark,Carcharodon carcharias ,-33.0833,151.6500,No,estuary/harbour,,,-33.0833,151.6500,
82,1,5,1882,injured,NSW,"miller's point, sydney harbour",wobbegong,Orectolobidae,-33.8500,151.2000,No,coastal,,,-33.8500,151.2000,
83,1,5,1882,fatal,WA,broome area (nintey mile beach),tiger shark,Galeocerdo cuvier ,-15.8833,122.0000,No,coastal,,,-15.8833,122.0000,
84,1,12,1882,fatal,WA,broome (area),tiger shark,Galeocerdo cuvier ,-17.9833,122.2333,No,coastal,,,-17.9833,122.2333,
85,1,1,1883,fatal,NSW,"iron cove bay, sydney",bull shark,Carcharhinus leucas,-33.8500,151.1500,No,estuary/harbour,,,-33.8500,151.1500,
86,1,12,1883,fatal,NSW,"parramatta river, sydney",bull shark,Carcharhinus leucas,-33.8667,151.2000,No,estuary/harbour,,,-33.8667,151.2000,
87,1,12,1883,uninjured,NSW,"store beach, quarantine, manly",bull shark,Carcharhinus leucas,-33.8000,151.2833,No,estuary/harbour,,,-33.8000,151.2833,
88,1,1,1884,fatal,SA,port pirie,white shark,Carcharodon carcharias ,-33.1833,137.9833,No,coastal,,,-33.1833,137.9833,
89,1,10,1885,uninjured,NSW,parramatta river,bull shark,Carcharhinus leucas,-33.8167,151.0500,No,river,,,-33.8167,151.0500,
90,1,11,1885,injured,WA,bunbury,white shark,Carcharodon carcharias ,-33.3167,115.6333,No,coastal,,,-33.3167,115.6333,
91,1,1,1886,uninjured,QLD,maryborough harbour,bull shark,Carcharhinus leucas,-25.5333,152.7000,No,estuary/harbour,,,-25.5333,152.7000,
92,1,4,1886,injured,QLD,"fitzroy river, rotheway bay",bull shark,Carcharhinus leucas,-23.3833,150.6333,No,river,,,-23.3833,150.6333,
93,1,2,1887,uninjured,NSW,"manly wharf, sydney",whaler shark,Carcharhinidae,-33.8000,151.2833,No,estuary/harbour,,,-33.8000,151.2833,
94,1,12,1887,fatal,NSW,"ryde, sydney harbour",bull shark,Carcharhinus leucas,-33.8167,151.0833,No,river,,,-33.8167,151.0833,
95,1,9,1888,injured,QLD,cooktown (gbr),tiger shark,Galeocerdo cuvier ,-19.8500,145.4000,No,island open ocean,,,-19.8500,145.4000,
96,1,12,1888,fatal,NSW,"iron cove bridge, sydney",bull shark,Carcharhinus leucas,-33.8500,151.1500,No,estuary/harbour,,,-33.8500,151.1500,
97,1,7,1889,fatal,VIC,port phillip bay heads,white shark,Carcharodon carcharias ,-38.3333,144.6167,No,ocean/pelagic,,,-38.3333,144.6167,
98,1,1,1890,injured,TAS,"derwent, bridgewater",broadnose sevengill shark,Notorynchus cepedianus,-42.7333,147.2333,No,river,,,-42.7333,147.2333,
99,1,4,1891,uninjured,NSW,tathra wharf,wobbegong,Orectolobidae,-36.7167,149.9833,No,coastal,,,-36.7167,149.9833,
100,1,6,1891,injured,VIC,point danger of torquay,wobbegong,Orectolobidae,-38.3333,144.3167,No,coastal,,,-38.3333,144.3167,
101,1,1,1892,fatal,QLD,"torres strait, badu island",tiger shark,Galeocerdo cuvier ,-10.1167,142.1333,No,river,,,-10.1167,142.1333,
102,1,3,1892,injured,QLD,"rockhampton, fitzroy river",bull shark,Carcharhinus leucas,-23.3667,150.5000,No,river,,,-23.3667,150.5000,
103,1,11,1892,injured,QLD,"moreton bay, wellington point",whaler shark,Carcharhinidae,-27.4500,153.2167,No,coastal,,,-27.4500,153.2167,
104,1,12,1892,injured,QLD,brisbane river,bull shark,Carcharhinus leucas,-27.4333,153.0833,No,island open ocean,,,-27.4333,153.0833,
105,1,1,1893,uninjured,WA,geraldton,wobbegong,Orectolobidae,-28.7667,114.6000,No,coastal,,,-28.7667,114.6000,
106,1,1,1893,fatal,QLD,claremont isles national park,tiger shark,Galeocerdo cuvier ,-13.9333,143.7333,No,ocean/pelagic,,,-13.9333,143.7333,
107,1,4,1893,injured,QLD,"torres strait, cap island",tiger shark,Galeocerdo cuvier ,-9.8167,142.7000,No,island open ocean,,,-9.8167,142.7000,
108,1,11,1894,injured,NSW,newcastle beach,white shark,Carcharodon carcharias ,-32.9167,151.7833,No,coastal,,,-32.9167,151.7833,
109,1,1,1895,uninjured,QLD,brisbane river,bull shark,Carcharhinus leucas,-27.4667,153.0000,No,river,,,-27.4667,153.0000,
110,1,2,1895,fatal,NSW,"leichhardt, sydney harbour",bull shark,Carcharhinus leucas,-33.9333,151.2500,No,estuary/harbour,,,-33.9333,151.2500,
111,1,3,1895,injured,QLD,"burnett river, sharon",bull shark,Carcharhinus leucas,-24.9000,152.2333,No,estuary/harbour,,,-24.9000,152.2333,
112,1,6,1895,fatal,WA,barrow island,tiger shark,Galeocerdo cuvier ,-20.7833,115.5333,No,island open ocean,,,-20.7833,115.5333,
113,1,11,1895,fatal,NSW,"jervis bay, cape st george lighthouse",whaler shark,Carcharhinidae,-35.1333,150.7500,No,coastal,,,-35.1333,150.7500,
114,1,12,1895,uninjured,QLD,"thursday island, torre strait",tiger shark,Galeocerdo cuvier ,-10.5667,142.2167,No,island open ocean,,,-10.5667,142.2167,
115,1,12,1895,fatal,NSW,"iron cove bridge, sydney",bull shark,Carcharhinus leucas,-33.8500,151.1500,No,estuary/harbour,,,-33.8500,151.1500,
116,1,1,1896,fatal,NSW,"pyrmont baths, sydney",bull shark,Carcharhinus leucas,-33.8667,151.1833,No,estuary/harbour,,,-33.8667,151.1833,
117,1,11,1896,fatal,WA,esperance,white shark,Carcharodon carcharias ,-33.8500,121.8833,No,coastal,,,-33.8500,121.8833,
118,1,1,1897,injured,NSW,"macleay river, kempsey",bull shark,Carcharhinus leucas,-31.0667,152.8333,No,river,,,-31.0667,152.8333,
119,1,12,1897,injured,QLD,"torres strait, mabuiag island ",tiger shark,Galeocerdo cuvier ,-9.9500,142.1833,No,island open ocean,,,-9.9500,142.1833,
120,1,9,1898,injured,NSW,"port stephens, nelson's bay",bull shark,Carcharhinus leucas,-32.7167,152.1167,No,estuary/harbour,,,-32.7167,152.1167,
121,1,12,1898,injured,QLD,"moreton bay, wellington point",whaler shark,Carcharhinidae,-27.4667,153.2167,No,coastal,,,-27.4667,153.2167,
122,1,2,1899,injured,NSW,"sugar loaf bay, sydney harbour",bull shark,Carcharhinus leucas,-33.7833,151.2167,No,estuary/harbour,,,-33.7833,151.2167,
123,1,12,1899,injured,QLD,"moreton bay, tingalpa creek, near wynnum",bull shark,Carcharhinus leucas,-27.5500,153.1833,No,estuary/harbour,,,-27.5500,153.1833,
124,1,1,1900,injured,NSW,"iron cove bridge, sydney",bull shark,Carcharhinus leucas,-33.8500,151.1500,No,estuary/harbour,,,-33.8500,151.1500,
125,1,1,1900,injured,NT,melville island,tiger shark,Galeocerdo cuvier ,-11.6000,130.9500,No,coastal,,,-11.6000,130.9500,
126,1,9,1900,injured,QLD,townsville harbour,tiger shark,Galeocerdo cuvier ,-19.2500,146.8167,No,estuary/harbour,,,-19.2500,146.8167,
127,1,11,1900,fatal,QLD,torres strait (unknown location),,,-10.5500,142.3833,No,island open ocean,,,-10.5500,142.3833,
128,1,12,1900,fatal,NSW,"middle harbour, folly point, sydney harbour",bull shark,Carcharhinus leucas,-33.7833,151.2333,No,estuary/harbour,,,-33.7833,151.2333,
129,1,1,1901,injured,NT,melville island,tiger shark,Galeocerdo cuvier ,-11.6000,130.9500,No,coastal,,,-11.6000,130.9500,
130,1,1,1901,fatal,QLD,"brisbane river, rowing club",bull shark,Carcharhinus leucas,-27.4667,153.0000,No,river,,,-27.4667,153.0000,
131,1,2,1901,injured,QLD,barron river mouth,wobbegong,Orectolobidae,-16.8500,145.7500,No,river,,,-16.8500,145.7500,
132,1,4,1901,injured,QLD,"thursday island, torre strait",tiger shark,Galeocerdo cuvier ,-10.5667,142.2167,No,island open ocean,,,-10.5667,142.2167,
133,1,4,1901,injured,QLD,"thursday island, torre strait",tiger shark,Galeocerdo cuvier ,-10.5667,142.2167,No,island open ocean,,,-10.5667,142.2167,
134,1,12,1901,injured,QLD,"brisbane river, south brisbane cemetery",bull shark,Carcharhinus leucas,-27.4667,153.0000,No,estuary/harbour,,,-27.4667,153.0000,
135,1,1,1902,injured,QLD,"brisbane river, highgate hill",bull shark,Carcharhinus leucas,-27.4833,153.0000,No,river,,,-27.4833,153.0000,
136,1,1,1902,injured,QLD,"moreton bay, wynnum south",whaler shark,Carcharhinidae,-27.4333,153.1667,No,coastal,,,-27.4333,153.1667,
137,1,1,1903,fatal,NSW,"lane cove river, sydney",bull shark,Carcharhinus leucas,-33.8167,151.1500,No,river,,,-33.8167,151.1500,
138,1,2,1903,uninjured,NSW,"middle lagoon, tanja",bull shark,Carcharhinus leucas,-36.6333,150.0000,No,estuary/harbour,,,-36.6333,150.0000,
139,1,3,1903,fatal,QLD,logan river,bull shark,Carcharhinus leucas,-27.7000,153.2833,No,river,,,-27.7000,153.2833,
140,1,5,1903,uninjured,NSW,kiama,whaler shark,Carcharhinidae,-34.6667,150.8500,No,coastal,,,-34.6667,150.8500,
141,1,3,1904,injured,QLD,"brisbane river, pinkenba",bull shark,Carcharhinus leucas,-27.4167,153.1167,No,river,,,-27.4167,153.1167,
142,1,3,1905,injured,NSW,lismore - wilsons river,bull shark,Carcharhinus leucas,-28.8000,153.2667,No,river,,,-28.8000,153.2667,
143,1,12,1905,fatal,QLD,"badu island, torres strait",tiger shark,Galeocerdo cuvier ,-10.2000,142.1500,No,island open ocean,,,-10.2000,142.1500,
144,1,1,1906,fatal,NSW,georges river,bull shark,Carcharhinus leucas,-33.9833,151.0667,No,river,,,-33.9833,151.0667,
145,1,4,1906,fatal,QLD,lizard island,tiger shark,Galeocerdo cuvier ,-14.6667,145.4500,No,island open ocean,,,-14.6667,145.4500,
146,1,8,1906,fatal,QLD,"torres strait, mabuiag island ",tiger shark,Galeocerdo cuvier ,-9.9500,142.1667,No,island open ocean,,,-9.9500,142.1667,
147,1,12,1906,uninjured,NSW,batemans bay,wobbegong,Orectolobidae,-35.7000,150.1833,No,coastal,,,-35.7000,150.1833,
148,1,2,1907,fatal,QLD,"townsville, ross creek",bull shark,Carcharhinus leucas,-19.2500,146.8167,No,estuary/harbour,,,-19.2500,146.8167,
149,1,8,1907,injured,WA,"geraldton, murray island - off geraldton",tiger shark,Galeocerdo cuvier ,-28.8500,113.9000,No,island open ocean,,,-28.8500,113.9000,
150,1,10,1907,injured,NSW,"merewether beach, newcastle",white shark,Carcharodon carcharias ,-32.9333,151.7500,No,coastal,,,-32.9333,151.7500,
151,1,12,1907,fatal,NSW,"middle harbour, sugarloaf bay, sydney",bull shark,Carcharhinus leucas,-33.7833,151.2333,No,estuary/harbour,,,-33.7833,151.2333,
152,1,1,1909,injured,NSW,"brisbane waters, woy woy",bull shark,Carcharhinus leucas,-33.4833,151.3000,No,estuary/harbour,,,-33.4833,151.3000,
153,1,1,1910,fatal,NSW,newcastle harbour,bull shark,Carcharhinus leucas,-32.9000,151.7667,No,estuary/harbour,,,-32.9000,151.7667,
154,1,2,1910,injured,WA,bunbury ,white shark,Carcharodon carcharias ,-33.3167,115.6167,No,coastal,,,-33.3167,115.6167,
155,1,3,1910,uninjured,WA,cape leeuwin,,,-34.3667,115.1167,No,coastal,,,-34.3667,115.1167,
156,1,11,1910,injured,QLD,mackay (9 miles away),,,-21.1667,149.2333,No,island open ocean,,,-21.1667,149.2333,
157,1,2,1911,uninjured,WA,legendre island,tiger shark,Galeocerdo cuvier ,-20.3833,116.8667,No,coastal,,,-20.3833,116.8667,
158,1,3,1911,fatal,QLD,"thursday island, torre strait",tiger shark,Galeocerdo cuvier ,-10.5667,142.2167,No,island open ocean,,,-10.5667,142.2167,
159,1,10,1911,injured,QLD,cooktown (gbr),tiger shark,Galeocerdo cuvier ,-15.4833,145.4000,No,island open ocean,,,-15.4833,145.4000,
160,1,1,1912,injured,NSW,sydney (near),dusky shark,Carcharhinus obscurus,-33.8333,151.1667,No,coastal,,,-33.8333,151.1667,
